generation,average,min,max
1,19342.50315,1181.9475000000002,73352.75
2,22717.420450000005,1181.9475000000002,110601.75
3,26651.86985,1181.9475000000002,142855.55000000002
4,29933.4998,1567.9100000000003,125400.51749999997
5,33567.409925,3437.5725,146706.75
6,35044.1826,2327.805,147310.61000000002
7,43075.18467500001,3255.1175000000003,171705.88749999998
8,35419.545000000006,1181.9475000000002,147591.5325
9,36429.121524999995,2515.2725,143155.75
10,36990.52385,1375.4300000000003,128780.65249999997
11,37252.6459,1759.3875000000003,145232.4225
12,38346.342225,3071.6600000000003,136464.6125
13,37862.506025,1567.9100000000003,159339.86000000002
14,35227.17625,1567.9100000000003,151450.5
15,32373.983725000002,1375.4300000000003,151005.25
16,37851.597625,3978.9224999999997,149210.8875
17,36399.999274999995,1949.8625000000002,165561.5425
18,35384.92097499999,1375.4300000000003,133547.8025
19,37388.595025,2327.805,137921.01000000004
20,40866.511099999996,1567.9100000000003,155815.685
21,39671.075849999994,1181.9475000000002,144106.02499999994
22,37558.68605,1181.9475000000002,127433.74250000004
23,38494.19472500001,1567.9100000000003,138651.6975
24,40835.717025,1181.9475000000002,155486.83749999997
25,40763.39660000001,2139.335,160145.565
26,37890.554,1181.9475000000002,150628.55500000002
27,41708.9794,1375.4300000000003,145707.7175
28,40167.29810000001,1759.3875000000003,145131.75
29,36561.536125000006,1181.9475000000002,141464.3375
30,35629.776275000004,1181.9475000000002,151506.235
31,39748.185675,2515.2725,143212.75
32,41168.214275000006,1375.4300000000003,158254.9475
33,36244.820224999996,1181.9475000000002,156290.75999999995
34,38685.203025,2327.805,145966.75
35,34513.002375000004,1759.3875000000003,152646.39250000002
36,41408.395574999995,1567.9100000000003,147696.61250000002
37,38744.934625,1567.9100000000003,165409.39
38,38987.434375,1375.4300000000003,144353.895
39,37959.90055,1949.8625000000002,153222.435
40,36469.3671,1375.4300000000003,142562.04749999993
41,37324.642525,1567.9100000000003,140318.64750000002
42,36669.906350000005,2887.2000000000003,142258.125
43,42211.75654999999,4157.367499999999,152154.15750000003
44,41620.92245,2327.805,149798.75999999995
45,45554.7928,4686.687499999999,155744.75
46,39574.1669,1181.9475000000002,126928.83499999998
47,38013.9852,2327.805,144700.75
48,42223.693824999995,1949.8625000000002,146355.7475
49,38520.57385,1375.4300000000003,131252.76000000004
50,41589.87022499999,1375.4300000000003,154950.46
51,40449.5538,1375.4300000000003,139748.25
52,34899.63735,2327.805,149648.57249999995
